,ParameterName,MinValue,MaxValue,DefaultValue,tipo,ON_OFF
0,thetas2,0,1,0.4918557412328151,thetas,OFF
1,thetas3,0,1,0.5664761701466845,thetas,OFF
2,thetas3_o,0,1,0.6959432370601689,thetas,OFF
3,thetas1_o,0,1,0.3725816105147118,thetas,OFF
4,thetas1,0,1,0.14228268438731687,thetas,OFF
5,thetas2_o,0,1,0.7265006238762599,thetas,OFF
6,thetas1_f,0,1,0.18074060100773742,thetas,OFF
7,thetas3_f,0,1,0.2666460347231036,thetas,OFF
8,thetas2_f,0,1,0.45823378959450745,thetas,OFF
9,thetar3,0,1,0.06302139772634668,thetar,ON
10,thetar1,0,1,0.02587156105295413,thetar,ON
11,thetar2,0,1,0.5811180147428894,thetar,ON
12,thetar3_o,0,1,0.23705162516528444,thetar,OFF
13,thetar1_o,0,1,0.975243684783039,thetar,OFF
14,thetar2_f,0,1,0.16922200365226986,thetar,ON
15,thetar2_o,0,1,0.6216952147031536,thetar,OFF
16,thetar3_f,0,1,0.1363338571264235,thetar,OFF
17,thetar1_f,0,1,0.937449020247018,thetar,ON
